text,label
The outdated hardware is slowing down my productivity.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent changes in the vacation policy are disappointing.,0
The company's commitment to professional development is impressive.,1
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
Communication between departments has been lacking lately.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm really enjoying the new project management software!,1
I feel overwhelmed with the current workload and lack of resources.,0
I'm really enjoying the new project management software!,1
Communication between departments has been lacking lately.,0
The company's commitment to professional development is impressive.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The company's commitment to professional development is impressive.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The recent changes in the vacation policy are disappointing.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The company's commitment to professional development is impressive.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I appreciate the constructive feedback from my manager during the performance review.,1
I'm really enjoying the new project management software!,1
I feel overwhelmed with the current workload and lack of resources.,0
Communication between departments has been lacking lately.,0
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
The company's commitment to professional development is impressive.,1
I feel overwhelmed with the current workload and lack of resources.,0
I appreciate the constructive feedback from my manager during the performance review.,1
Communication between departments has been lacking lately.,0
I'm concerned about the lack of growth opportunities in my current role.,0
Communication between departments has been lacking lately.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I feel overwhelmed with the current workload and lack of resources.,0
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent changes in the vacation policy are disappointing.,0
The recent changes in the vacation policy are disappointing.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
The recent changes in the vacation policy are disappointing.,0
Communication between departments has been lacking lately.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The outdated hardware is slowing down my productivity.,0
I'm really enjoying the new project management software!,1
The outdated hardware is slowing down my productivity.,0
The recent team-building activity was fantastic and improved our collaboration.,1
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
The company's commitment to professional development is impressive.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The outdated hardware is slowing down my productivity.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
Communication between departments has been lacking lately.,0
The company's commitment to professional development is impressive.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I feel overwhelmed with the current workload and lack of resources.,0
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
I'm concerned about the lack of growth opportunities in my current role.,0
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
Communication between departments has been lacking lately.,0
Communication between departments has been lacking lately.,0
I'm concerned about the lack of growth opportunities in my current role.,0
The company's commitment to professional development is impressive.,1
The recent changes in the vacation policy are disappointing.,0
The recent changes in the vacation policy are disappointing.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The recent changes in the vacation policy are disappointing.,0
The outdated hardware is slowing down my productivity.,0
I'm concerned about the lack of growth opportunities in my current role.,0
I feel overwhelmed with the current workload and lack of resources.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
I appreciate the constructive feedback from my manager during the performance review.,1
I appreciate the constructive feedback from my manager during the performance review.,1
I'm really enjoying the new project management software!,1
The company's commitment to professional development is impressive.,1
The outdated hardware is slowing down my productivity.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The outdated hardware is slowing down my productivity.,0
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
The outdated hardware is slowing down my productivity.,0
The company's commitment to professional development is impressive.,1
The company's commitment to professional development is impressive.,1
I'm really enjoying the new project management software!,1
I appreciate the constructive feedback from my manager during the performance review.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The recent team-building activity was fantastic and improved our collaboration.,1
I feel overwhelmed with the current workload and lack of resources.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm really enjoying the new project management software!,1
The recent team-building activity was fantastic and improved our collaboration.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The company's commitment to professional development is impressive.,1
I feel overwhelmed with the current workload and lack of resources.,0
The outdated hardware is slowing down my productivity.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The recent changes in the vacation policy are disappointing.,0
I'm concerned about the lack of growth opportunities in my current role.,0
The outdated hardware is slowing down my productivity.,0
The recent changes in the vacation policy are disappointing.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
I appreciate the constructive feedback from my manager during the performance review.,1
I feel overwhelmed with the current workload and lack of resources.,0
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The recent changes in the vacation policy are disappointing.,0
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I feel overwhelmed with the current workload and lack of resources.,0
The outdated hardware is slowing down my productivity.,0
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The outdated hardware is slowing down my productivity.,0
The outdated hardware is slowing down my productivity.,0
The company's commitment to professional development is impressive.,1
The outdated hardware is slowing down my productivity.,0
I'm concerned about the lack of growth opportunities in my current role.,0
I'm concerned about the lack of growth opportunities in my current role.,0
The recent team-building activity was fantastic and improved our collaboration.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The outdated hardware is slowing down my productivity.,0
The outdated hardware is slowing down my productivity.,0
The recent changes in the vacation policy are disappointing.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
Communication between departments has been lacking lately.,0
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm really enjoying the new project management software!,1
The recent team-building activity was fantastic and improved our collaboration.,1
The company's commitment to professional development is impressive.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
The outdated hardware is slowing down my productivity.,0
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
The outdated hardware is slowing down my productivity.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The company's commitment to professional development is impressive.,1
The recent team-building activity was fantastic and improved our collaboration.,1
I feel overwhelmed with the current workload and lack of resources.,0
The recent changes in the vacation policy are disappointing.,0
Communication between departments has been lacking lately.,0
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The outdated hardware is slowing down my productivity.,0
I feel overwhelmed with the current workload and lack of resources.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I feel overwhelmed with the current workload and lack of resources.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
Communication between departments has been lacking lately.,0
The company's commitment to professional development is impressive.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
Communication between departments has been lacking lately.,0
The recent team-building activity was fantastic and improved our collaboration.,1
I appreciate the constructive feedback from my manager during the performance review.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I feel overwhelmed with the current workload and lack of resources.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent changes in the vacation policy are disappointing.,0
Communication between departments has been lacking lately.,0
The outdated hardware is slowing down my productivity.,0
Communication between departments has been lacking lately.,0
The recent changes in the vacation policy are disappointing.,0
The recent team-building activity was fantastic and improved our collaboration.,1
I feel overwhelmed with the current workload and lack of resources.,0
The outdated hardware is slowing down my productivity.,0
The company's commitment to professional development is impressive.,1
I'm really enjoying the new project management software!,1
The company's commitment to professional development is impressive.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The company's commitment to professional development is impressive.,1
I feel overwhelmed with the current workload and lack of resources.,0
I feel overwhelmed with the current workload and lack of resources.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The recent changes in the vacation policy are disappointing.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The outdated hardware is slowing down my productivity.,0
The recent team-building activity was fantastic and improved our collaboration.,1
Communication between departments has been lacking lately.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The outdated hardware is slowing down my productivity.,0
I feel overwhelmed with the current workload and lack of resources.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I feel overwhelmed with the current workload and lack of resources.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
Communication between departments has been lacking lately.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The company's commitment to professional development is impressive.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
Communication between departments has been lacking lately.,0
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
Communication between departments has been lacking lately.,0
I'm really enjoying the new project management software!,1
The recent team-building activity was fantastic and improved our collaboration.,1
I feel overwhelmed with the current workload and lack of resources.,0
The recent team-building activity was fantastic and improved our collaboration.,1
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
The recent changes in the vacation policy are disappointing.,0
I appreciate the constructive feedback from my manager during the performance review.,1
Communication between departments has been lacking lately.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm concerned about the lack of growth opportunities in my current role.,0
Communication between departments has been lacking lately.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
I feel overwhelmed with the current workload and lack of resources.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The recent changes in the vacation policy are disappointing.,0
The outdated hardware is slowing down my productivity.,0
I'm concerned about the lack of growth opportunities in my current role.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The company's commitment to professional development is impressive.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent team-building activity was fantastic and improved our collaboration.,1
I feel overwhelmed with the current workload and lack of resources.,0
The recent changes in the vacation policy are disappointing.,0
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
The recent changes in the vacation policy are disappointing.,0
I feel overwhelmed with the current workload and lack of resources.,0
The outdated hardware is slowing down my productivity.,0
I'm really enjoying the new project management software!,1
I appreciate the constructive feedback from my manager during the performance review.,1
The outdated hardware is slowing down my productivity.,0
I'm really enjoying the new project management software!,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent changes in the vacation policy are disappointing.,0
I appreciate the constructive feedback from my manager during the performance review.,1
Communication between departments has been lacking lately.,0
I feel overwhelmed with the current workload and lack of resources.,0
The company's commitment to professional development is impressive.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The outdated hardware is slowing down my productivity.,0
I'm concerned about the lack of growth opportunities in my current role.,0
I feel overwhelmed with the current workload and lack of resources.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
I feel overwhelmed with the current workload and lack of resources.,0
The company's commitment to professional development is impressive.,1
The outdated hardware is slowing down my productivity.,0
The recent changes in the vacation policy are disappointing.,0
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The company's commitment to professional development is impressive.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
The company's commitment to professional development is impressive.,1
The recent changes in the vacation policy are disappointing.,0
I'm really enjoying the new project management software!,1
Communication between departments has been lacking lately.,0
I'm concerned about the lack of growth opportunities in my current role.,0
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The company's commitment to professional development is impressive.,1
The recent team-building activity was fantastic and improved our collaboration.,1
I feel overwhelmed with the current workload and lack of resources.,0
Communication between departments has been lacking lately.,0
The recent changes in the vacation policy are disappointing.,0
I'm really enjoying the new project management software!,1
I appreciate the constructive feedback from my manager during the performance review.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
The outdated hardware is slowing down my productivity.,0
I'm really enjoying the new project management software!,1
The company's commitment to professional development is impressive.,1
I'm really enjoying the new project management software!,1
The company's commitment to professional development is impressive.,1
The recent changes in the vacation policy are disappointing.,0
I'm really enjoying the new project management software!,1
I feel overwhelmed with the current workload and lack of resources.,0
The outdated hardware is slowing down my productivity.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The company's commitment to professional development is impressive.,1
The company's commitment to professional development is impressive.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The recent changes in the vacation policy are disappointing.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The outdated hardware is slowing down my productivity.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
The recent changes in the vacation policy are disappointing.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I feel overwhelmed with the current workload and lack of resources.,0
The company's commitment to professional development is impressive.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The outdated hardware is slowing down my productivity.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The company's commitment to professional development is impressive.,1
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
I feel overwhelmed with the current workload and lack of resources.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I feel overwhelmed with the current workload and lack of resources.,0
The recent changes in the vacation policy are disappointing.,0
I'm concerned about the lack of growth opportunities in my current role.,0
Communication between departments has been lacking lately.,0
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I appreciate the constructive feedback from my manager during the performance review.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent changes in the vacation policy are disappointing.,0
The recent team-building activity was fantastic and improved our collaboration.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The recent team-building activity was fantastic and improved our collaboration.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The recent changes in the vacation policy are disappointing.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm really enjoying the new project management software!,1
The outdated hardware is slowing down my productivity.,0
The recent changes in the vacation policy are disappointing.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
I appreciate the constructive feedback from my manager during the performance review.,1
The recent changes in the vacation policy are disappointing.,0
Communication between departments has been lacking lately.,0
The company's commitment to professional development is impressive.,1
The company's commitment to professional development is impressive.,1
I feel overwhelmed with the current workload and lack of resources.,0
The outdated hardware is slowing down my productivity.,0
I'm really enjoying the new project management software!,1
I'm really enjoying the new project management software!,1
I appreciate the constructive feedback from my manager during the performance review.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The company's commitment to professional development is impressive.,1
The recent changes in the vacation policy are disappointing.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I feel overwhelmed with the current workload and lack of resources.,0
The recent changes in the vacation policy are disappointing.,0
The company's commitment to professional development is impressive.,1
I appreciate the constructive feedback from my manager during the performance review.,1
I feel overwhelmed with the current workload and lack of resources.,0
The company's commitment to professional development is impressive.,1
I'm concerned about the lack of growth opportunities in my current role.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent changes in the vacation policy are disappointing.,0
The recent changes in the vacation policy are disappointing.,0
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
Communication between departments has been lacking lately.,0
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm really enjoying the new project management software!,1
The outdated hardware is slowing down my productivity.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The outdated hardware is slowing down my productivity.,0
I'm concerned about the lack of growth opportunities in my current role.,0
The outdated hardware is slowing down my productivity.,0
The company's commitment to professional development is impressive.,1
I appreciate the constructive feedback from my manager during the performance review.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I appreciate the constructive feedback from my manager during the performance review.,1
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent changes in the vacation policy are disappointing.,0
The company's commitment to professional development is impressive.,1
I'm really enjoying the new project management software!,1
The outdated hardware is slowing down my productivity.,0
Communication between departments has been lacking lately.,0
I'm really enjoying the new project management software!,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The company's commitment to professional development is impressive.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
I'm really enjoying the new project management software!,1
The new flexible work hours policy has greatly improved my work-life balance.,1
I'm concerned about the lack of growth opportunities in my current role.,0
I'm really enjoying the new project management software!,1
I'm concerned about the lack of growth opportunities in my current role.,0
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent changes in the vacation policy are disappointing.,0
The recent changes in the vacation policy are disappointing.,0
The recent changes in the vacation policy are disappointing.,0
The outdated hardware is slowing down my productivity.,0
I feel overwhelmed with the current workload and lack of resources.,0
The recent team-building activity was fantastic and improved our collaboration.,1
The new flexible work hours policy has greatly improved my work-life balance.,1
The recent team-building activity was fantastic and improved our collaboration.,1
The recent team-building activity was fantastic and improved our collaboration.,1
I'm really enjoying the new project management software!,1
I feel overwhelmed with the current workload and lack of resources.,0
I appreciate the constructive feedback from my manager during the performance review.,1
The recent changes in the vacation policy are disappointing.,0
The company's commitment to professional development is impressive.,1
Communication between departments has been lacking lately.,0
