activity,duration,timestamp
Project Work,3402.647949813555,2023-01-01 00:00:00
Email,945.2173195887223,2023-01-01 00:01:00
Project Work,5336.253480997128,2023-01-01 00:02:00
Meetings,6546.821430315782,2023-01-01 00:03:00
Email,2743.07478202501,2023-01-01 00:04:00
Deep Work,6375.862646544414,2023-01-01 00:05:00
Deep Work,6998.322080476906,2023-01-01 00:06:00
Email,3914.0701785481983,2023-01-01 00:07:00
Meetings,2295.5675738599357,2023-01-01 00:08:00
Meetings,5242.219993684025,2023-01-01 00:09:00
Email,5769.770432459859,2023-01-01 00:10:00
Project Work,6232.786510977163,2023-01-01 00:11:00
Deep Work,887.4838771752823,2023-01-01 00:12:00
Meetings,5439.696008242861,2023-01-01 00:13:00
Project Work,3511.3473685255226,2023-01-01 00:14:00
Email,5927.517677577403,2023-01-01 00:15:00
Deep Work,6035.0238036601395,2023-01-01 00:16:00
Email,918.3495911838829,2023-01-01 00:17:00
Deep Work,4284.141871867863,2023-01-01 00:18:00
Meetings,1201.21282189475,2023-01-01 00:19:00
Meetings,3609.9731893554203,2023-01-01 00:20:00
Meetings,6019.564002496407,2023-01-01 00:21:00
Project Work,5547.521116886923,2023-01-01 00:22:00
Email,2838.846519552426,2023-01-01 00:23:00
Email,2616.1469158796,2023-01-01 00:24:00
Deep Work,1466.1780426928128,2023-01-01 00:25:00
Project Work,7191.411445865825,2023-01-01 00:26:00
Email,5356.3686761715535,2023-01-01 00:27:00
Deep Work,3040.780336038345,2023-01-01 00:28:00
Meetings,6218.093738319953,2023-01-01 00:29:00
Deep Work,4194.890209004597,2023-01-01 00:30:00
Meetings,6808.829137871582,2023-01-01 00:31:00
Meetings,7068.611023373779,2023-01-01 00:32:00
Deep Work,6398.226523760535,2023-01-01 00:33:00
Project Work,2647.6966073981803,2023-01-01 00:34:00
Deep Work,6397.765923316967,2023-01-01 00:35:00
Meetings,6010.6173404819465,2023-01-01 00:36:00
Email,4235.858069141053,2023-01-01 00:37:00
Deep Work,6043.342538769692,2023-01-01 00:38:00
Deep Work,6398.692807238773,2023-01-01 00:39:00
Deep Work,5469.2418012568405,2023-01-01 00:40:00
Project Work,999.1469165869711,2023-01-01 00:41:00
Project Work,2861.4464999287648,2023-01-01 00:42:00
