employee_id,timestamp,total_session_time,active_time,idle_time,active_percentage,devices_used,application_switches,task_completion_rate,ideal_time_category
EMP005,2024-11-11 10:22:07.099911,271,260,11,95.9409594095941,"Tablet, Desktop",16,0.800248995990454,Core Working Hours
EMP009,2024-11-22 15:20:07.099911,387,354,33,91.47286821705426,"Desktop, Mobile",17,0.9564347837408378,Core Working Hours
EMP017,2024-11-07 04:31:07.099911,352,350,2,99.43181818181816,"Desktop, Laptop",17,0.544512094842402,Non-Working Hours
EMP008,2024-11-04 06:18:07.099911,318,202,116,63.52201257861635,"Laptop, Tablet",19,0.8519229716608441,Flexible Working Hours
EMP013,2024-11-14 20:22:07.099911,353,235,118,66.57223796033995,"Mobile, Desktop",6,0.9299531570559836,Non-Working Hours
EMP004,2024-11-02 17:10:07.099911,294,199,95,67.68707482993197,"Desktop, Tablet",1,0.6827735916771704,Flexible Working Hours
EMP011,2024-11-26 07:10:07.099911,359,246,113,68.52367688022284,"Laptop, Tablet",6,0.7164740151013176,Flexible Working Hours
EMP014,2024-11-29 13:18:07.099911,478,307,171,64.22594142259415,Desktop,4,0.8421790957934827,Core Working Hours
EMP005,2024-11-21 16:19:07.099911,251,227,24,90.4382470119522,Mobile,16,0.6067030435810927,Core Working Hours
EMP005,2024-11-28 05:29:07.099911,176,142,34,80.68181818181817,Desktop,9,0.5141114603991683,Non-Working Hours
EMP020,2024-11-01 07:27:07.099911,395,366,29,92.65822784810128,"Laptop, Tablet",1,0.8573643715708512,Flexible Working Hours
EMP015,2024-11-08 23:44:07.099911,27,16,11,59.25925925925925,"Tablet, Mobile",11,0.9979848896072409,Non-Working Hours
EMP012,2024-11-08 01:32:07.099911,249,219,30,87.95180722891565,Mobile,5,0.5994743861426979,Non-Working Hours
EMP008,2024-11-05 02:57:07.099911,82,65,17,79.26829268292683,"Desktop, Mobile",2,0.7303035486475754,Non-Working Hours
EMP008,2024-11-09 03:02:07.099911,90,59,31,65.55555555555556,"Desktop, Laptop",12,0.9931084878110158,Non-Working Hours
EMP005,2024-11-30 02:58:07.099911,200,191,9,95.5,Tablet,11,0.8805060412843877,Non-Working Hours
EMP019,2024-11-01 14:00:07.099911,103,87,16,84.46601941747572,"Desktop, Laptop",11,0.6597290284185255,Core Working Hours
EMP012,2024-11-03 06:17:07.099911,75,47,28,62.66666666666667,Desktop,6,0.5559146214113783,Flexible Working Hours
EMP017,2024-11-24 08:26:07.099911,39,27,12,69.23076923076923,"Mobile, Tablet",3,0.9950011301120324,Flexible Working Hours
EMP004,2024-11-11 14:03:07.099911,175,173,2,98.85714285714286,"Tablet, Laptop",9,0.8906154845405815,Core Working Hours
EMP014,2024-11-07 10:16:07.099911,466,304,162,65.23605150214593,"Mobile, Tablet",6,0.5880886034478952,Core Working Hours
EMP020,2024-11-21 03:48:07.099911,413,284,129,68.76513317191282,"Laptop, Tablet",11,0.8477484581817858,Non-Working Hours
EMP003,2024-11-21 10:45:07.099911,371,245,126,66.0377358490566,"Desktop, Mobile",16,0.7310640851420425,Core Working Hours
EMP004,2024-11-08 01:04:07.099911,18,17,1,94.44444444444444,"Tablet, Desktop",18,0.5665267949615,Non-Working Hours
EMP015,2024-11-07 23:54:07.099911,187,175,12,93.58288770053476,Laptop,19,0.7196839416089995,Non-Working Hours
EMP002,2024-11-09 19:56:07.099911,211,155,56,73.45971563981043,Tablet,11,0.8458984755711224,Flexible Working Hours
EMP008,2024-11-15 15:10:07.099911,387,328,59,84.75452196382429,Laptop,17,0.9953405783927398,Core Working Hours
EMP017,2024-11-24 05:19:07.099911,276,258,18,93.47826086956522,Tablet,17,0.7208864555907288,Non-Working Hours
EMP008,2024-11-10 03:59:07.099911,362,345,17,95.30386740331492,"Tablet, Mobile",11,0.849695032479645,Non-Working Hours
EMP007,2024-11-28 08:01:07.099911,446,427,19,95.73991031390136,Tablet,15,0.7027810280751405,Flexible Working Hours
EMP007,2024-11-22 16:56:07.099911,181,143,38,79.00552486187846,"Mobile, Laptop",16,0.8228517417490552,Core Working Hours
EMP010,2024-11-12 05:10:07.099911,408,407,1,99.75490196078432,"Laptop, Mobile",10,0.68307633125938,Non-Working Hours
EMP012,2024-11-24 08:37:07.099911,67,52,15,77.61194029850746,"Desktop, Mobile",9,0.7196781204421208,Flexible Working Hours
EMP007,2024-11-06 18:52:07.099911,170,129,41,75.88235294117646,Mobile,18,0.7924039716047124,Flexible Working Hours
EMP016,2024-11-09 18:12:07.099911,101,61,40,60.3960396039604,"Laptop, Desktop",14,0.9141995250913264,Flexible Working Hours
EMP005,2024-11-20 08:43:07.099911,364,361,3,99.17582417582418,Tablet,19,0.9101678954025788,Flexible Working Hours
EMP012,2024-11-02 18:02:07.099911,408,313,95,76.7156862745098,"Desktop, Laptop",11,0.7278719781486556,Flexible Working Hours
EMP001,2024-11-26 13:19:07.099911,214,183,31,85.51401869158879,Tablet,7,0.824956014219756,Core Working Hours
EMP007,2024-11-26 00:46:07.099911,63,62,1,98.4126984126984,Mobile,9,0.8858891013585293,Non-Working Hours
EMP010,2024-11-28 14:31:07.099911,358,325,33,90.78212290502792,Desktop,3,0.6768167249871759,Core Working Hours
EMP004,2024-11-20 19:26:07.099911,107,89,18,83.17757009345794,Mobile,16,0.6876893284604833,Flexible Working Hours
EMP014,2024-11-22 21:26:07.099911,265,256,9,96.60377358490568,Laptop,5,0.9617256646454776,Non-Working Hours
EMP002,2024-11-11 21:37:07.099911,207,143,64,69.08212560386472,Mobile,19,0.860724349198502,Non-Working Hours
EMP005,2024-11-12 22:04:07.099911,54,48,6,88.88888888888889,"Laptop, Tablet",16,0.6240492971036598,Non-Working Hours
EMP008,2024-11-30 16:02:07.099911,77,46,31,59.74025974025974,Tablet,13,0.9300836153545152,Core Working Hours
EMP011,2024-11-17 00:22:07.099911,150,145,5,96.66666666666669,"Tablet, Laptop",8,0.6795950814217675,Non-Working Hours
EMP017,2024-11-25 03:29:07.099911,430,311,119,72.32558139534883,"Laptop, Mobile",15,0.8281793574521135,Non-Working Hours
EMP001,2024-11-12 08:32:07.099911,171,133,38,77.77777777777779,Desktop,18,0.5491605232739036,Flexible Working Hours
EMP004,2024-11-21 13:19:07.099911,162,138,24,85.18518518518519,Tablet,15,0.7150526792142754,Core Working Hours
