hour_of_day,activity,productivity_score
12,Analysis,0.629318321345372
4,Coding,0.804328454771928
17,Design,0.5009735385766164
0,Coding,0.5778470502403055
6,Design,0.8264486461871554
18,Coding,0.7093903600180924
7,Writing,0.913110988182052
15,Design,0.5724440534630564
22,Design,0.7497440340826179
8,Analysis,0.843750825511869
16,Coding,0.8524740281947301
12,Writing,0.5953047651870855
15,Design,0.5158089016512915
23,Analysis,0.6635308102842848
6,Design,0.7370722962381524
15,Writing,0.94566170107393
8,Coding,0.5289641919343604
13,Design,0.6831402386654464
2,Writing,0.5721591672666834
19,Writing,0.6770328991627121
1,Writing,0.5740171379688157
2,Writing,0.5944477058049774
4,Writing,0.5067517222766844
16,Design,0.9594000507088974
14,Analysis,0.6168478965755908
0,Design,0.5195446969151563
2,Coding,0.8456713670027795
0,Analysis,0.6568307139501343
9,Design,0.9251860701254656
1,Analysis,0.8449645384507302
15,Writing,0.9359554561481852
22,Coding,0.6888823881118693
6,Writing,0.7643722224195124
1,Coding,0.7045436280802687
17,Writing,0.7195590770682658
8,Analysis,0.9791250167427942
0,Coding,0.8476518237481405
21,Writing,0.5424420614262477
9,Analysis,0.7238510384732295
14,Design,0.9336373395494676
23,Analysis,0.6776688519720198
16,Analysis,0.5914676438342308
21,Coding,0.907820121624726
2,Analysis,0.7991372304506219
11,Design,0.6067903190020381
23,Coding,0.664521956392002
2,Analysis,0.9153544608662286
19,Analysis,0.8100688225210052
22,Writing,0.7198263605349895
4,Analysis,0.9513200867339168
10,Coding,0.6659953503579428
1,Writing,0.9825284391750568
7,Analysis,0.5474201811851014
3,Design,0.5636790592753407
17,Coding,0.9174316567083066
23,Coding,0.8281379152248964
8,Coding,0.6747094282336704
1,Coding,0.6042297287866296
6,Analysis,0.9819595794867152
22,Design,0.8525918928792762
14,Writing,0.9750035426205984
15,Design,0.8377961078757689
20,Writing,0.8378212355631682
23,Design,0.7417294388813258
2,Design,0.9491694868992948
15,Design,0.8299706708885438
17,Design,0.8432751163964267
0,Design,0.9777614058207966
14,Analysis,0.6248908375083884
12,Design,0.6808152593584802
9,Writing,0.7332724383901154
1,Coding,0.9273552323733544
16,Analysis,0.9205233043392542
16,Coding,0.9383178146229856
7,Coding,0.5228193301443677
11,Analysis,0.7176910520087525
1,Analysis,0.7291218298599031
15,Analysis,0.8933873834116748
17,Analysis,0.7180763604653655
23,Coding,0.9676229890056534
14,Coding,0.8596209398509893
23,Coding,0.6916647741561424
10,Design,0.5558626423743214
19,Coding,0.6744583510646587
23,Writing,0.6718340235651763
17,Analysis,0.8992517602171701
5,Analysis,0.682100845154469
18,Design,0.7927490632734757
22,Writing,0.9643062437056192
19,Writing,0.9124432171898134
15,Analysis,0.7085786336595796
19,Analysis,0.870693072676058
14,Writing,0.9174336323795202
4,Analysis,0.5539983334995738
9,Design,0.7302392233491692
18,Design,0.6025746946911137
15,Writing,0.8648500737964129
23,Coding,0.6723577189069672
3,Design,0.6191195189436407
8,Coding,0.6050314956762732
2,Analysis,0.5704783884365121
20,Writing,0.9491697644240664
23,Analysis,0.6552091823222365
15,Analysis,0.9209090618843354
17,Analysis,0.7606798867900249
1,Writing,0.7348815286427026
4,Analysis,0.6590873884209754
2,Design,0.7366267072919367
20,Design,0.6812785222062169
20,Design,0.7898142638104642
6,Design,0.729106412287122
7,Writing,0.5648918181695622
3,Coding,0.658646519182784
11,Writing,0.5168577559394891
9,Writing,0.645014200527585
6,Coding,0.9355869907912138
7,Analysis,0.7812691509836914
17,Coding,0.7854273542777732
19,Design,0.9304960134288208
19,Analysis,0.7688742406789213
4,Design,0.5285779668056201
23,Coding,0.643085098345178
13,Writing,0.9842017581176196
21,Writing,0.979214504810718
15,Writing,0.7542278113480232
10,Design,0.7245562328684254
1,Analysis,0.9158880909668988
4,Coding,0.8025244566211913
2,Writing,0.8184207366033647
6,Coding,0.919380161346566
14,Writing,0.8718490367190748
16,Design,0.7166308673620048
12,Coding,0.6488614347059366
19,Analysis,0.8079540854421552
19,Design,0.9034299733897222
8,Coding,0.5682913081862354
15,Writing,0.9763056816354608
12,Coding,0.7615081939883698
17,Coding,0.9165824643858388
14,Writing,0.7173767905021338
17,Writing,0.5156143162740578
14,Design,0.7734248665205448
11,Coding,0.6116559333172851
14,Coding,0.5884864942861905
12,Analysis,0.8336269046844481
20,Writing,0.7235767553836966
14,Coding,0.5032506733835802
22,Writing,0.9668396455167207
7,Analysis,0.9085882928421836
17,Analysis,0.5372945445182199
6,Writing,0.6604155814900583
21,Analysis,0.5408104668941869
22,Coding,0.6162309991185586
8,Analysis,0.7750457612423033
6,Design,0.7910953405743454
7,Writing,0.8380954999822778
3,Coding,0.8445016236551224
13,Coding,0.6371565244572979
19,Writing,0.9447523841951146
19,Writing,0.515911799346398
1,Writing,0.800712585210916
10,Design,0.9772937913172212
3,Analysis,0.5683754419090709
3,Design,0.9391342588788604
22,Design,0.746460168357439
20,Analysis,0.999823388631284
18,Writing,0.7514759602705392
6,Writing,0.5344101407849173
0,Writing,0.9021006641723348
0,Writing,0.641261401822621
17,Design,0.6138697928357019
7,Analysis,0.9145768455842428
20,Analysis,0.5420179975555195
12,Design,0.885682557513858
16,Design,0.7992788729025537
6,Design,0.5302526381676199
16,Writing,0.7060578787037345
23,Coding,0.9469312967583228
3,Coding,0.7076678306154252
5,Design,0.929971432082108
18,Analysis,0.5028040244155185
17,Design,0.8631814105411444
6,Analysis,0.6043725855953417
10,Design,0.5933995459273511
14,Writing,0.5929966521578025
0,Design,0.7239858928802712
15,Design,0.8139061332015654
1,Analysis,0.6057804835734466
22,Writing,0.7152313599995948
11,Writing,0.9124789084645312
23,Design,0.6198811681108921
22,Writing,0.6080140085473456
19,Writing,0.9684820508079134
4,Coding,0.9844352448109036
3,Writing,0.9910713685922908
10,Coding,0.7594203951647049
17,Coding,0.8918929596953477
10,Writing,0.8251777189506373
5,Design,0.9203690386558367
9,Writing,0.5637837522265536
2,Coding,0.5890543420159259
14,Analysis,0.8645976963694537
3,Analysis,0.7237453841276076
23,Writing,0.912164060476884
15,Coding,0.651938851776432
7,Coding,0.6143057129749618
13,Design,0.9342007288303936
22,Analysis,0.7092012146694566
6,Analysis,0.9054841016475864
10,Analysis,0.8154189227578779
22,Coding,0.8620193840934312
11,Design,0.6284405273322389
9,Design,0.5338613314045251
16,Analysis,0.6959233977280614
3,Design,0.8832371609734129
20,Design,0.6318935150613918
8,Analysis,0.6135519876033482
15,Design,0.9087078380291732
20,Writing,0.9802155718853676
17,Design,0.971498724905384
18,Design,0.6757424794629666
18,Design,0.7376219809615652
14,Coding,0.8869090181147212
7,Coding,0.8967173427330407
21,Coding,0.8364081564302022
15,Design,0.7847742013319561
17,Analysis,0.7608972047663878
19,Analysis,0.8364389881176837
0,Design,0.736474535563693
8,Coding,0.6293871941770133
15,Writing,0.5099944138610792
22,Analysis,0.7971796397434592
16,Coding,0.9362126711723284
4,Writing,0.9213601382963754
11,Writing,0.8512154607140232
17,Writing,0.5571654170193697
20,Writing,0.5277582957687542
6,Analysis,0.5879426069226003
2,Coding,0.9286118226732452
5,Design,0.5974880874389992
4,Writing,0.7114492042286122
4,Coding,0.6666378810778639
15,Design,0.6486490250462715
21,Analysis,0.5789197277335589
2,Analysis,0.5121176623864827
1,Design,0.7463438667348727
23,Design,0.6811258690223838
22,Design,0.7072626655008443
1,Coding,0.7254050426342976
11,Coding,0.6294433384556979
1,Coding,0.8794279000478172
8,Analysis,0.5866151606464303
9,Design,0.8972647030634288
12,Design,0.8800418830943073
0,Analysis,0.7871170214993441
0,Design,0.9335678942349792
9,Design,0.7109674621099973
9,Coding,0.8466386249841713
22,Analysis,0.7628689057953786
11,Design,0.5171170591906737
4,Analysis,0.7877408005984188
12,Analysis,0.9042171635970556
