2024-12-07 13:36:31,320 INFO    MainThread:28360 [wandb_setup.py:_flush():68] Current SDK version is 0.19.0
2024-12-07 13:36:31,322 INFO    MainThread:28360 [wandb_setup.py:_flush():68] Configure stats pid to 28360
2024-12-07 13:36:31,322 INFO    MainThread:28360 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aman3\.config\wandb\settings
2024-12-07 13:36:31,322 INFO    MainThread:28360 [wandb_setup.py:_flush():68] Loading settings from C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\settings
2024-12-07 13:36:31,322 INFO    MainThread:28360 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-07 13:36:31,323 INFO    MainThread:28360 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\run-20241207_133631-e8v1eg9j\logs\debug.log
2024-12-07 13:36:31,324 INFO    MainThread:28360 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\aman3\Documents\Programming\Work\Qdesk\LLM-Backup\HRMS-LLM\wandb\run-20241207_133631-e8v1eg9j\logs\debug-internal.log
2024-12-07 13:36:31,324 INFO    MainThread:28360 [wandb_init.py:init():639] calling init triggers
2024-12-07 13:36:31,324 INFO    MainThread:28360 [wandb_init.py:init():645] wandb.init called with sweep_config: {}
config: {}
2024-12-07 13:36:31,324 INFO    MainThread:28360 [wandb_init.py:init():688] starting backend
2024-12-07 13:36:31,324 INFO    MainThread:28360 [wandb_init.py:init():692] sending inform_init request
2024-12-07 13:36:31,326 INFO    MainThread:28360 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-07 13:36:31,326 INFO    MainThread:28360 [wandb_init.py:init():705] backend started and connected
2024-12-07 13:36:31,328 INFO    MainThread:28360 [wandb_init.py:init():798] updated telemetry
2024-12-07 13:36:31,394 INFO    MainThread:28360 [wandb_init.py:init():830] communicating run to backend with 90.0 second timeout
2024-12-07 13:36:31,946 INFO    MainThread:28360 [wandb_init.py:init():882] starting run threads in backend
2024-12-07 13:36:32,071 INFO    MainThread:28360 [wandb_run.py:_console_start():2443] atexit reg
2024-12-07 13:36:32,071 INFO    MainThread:28360 [wandb_run.py:_redirect():2293] redirect: wrap_raw
2024-12-07 13:36:32,071 INFO    MainThread:28360 [wandb_run.py:_redirect():2358] Wrapping output streams.
2024-12-07 13:36:32,071 INFO    MainThread:28360 [wandb_run.py:_redirect():2383] Redirects installed.
2024-12-07 13:36:32,072 INFO    MainThread:28360 [wandb_init.py:init():925] run started, returning control to user process
2024-12-07 13:36:33,120 INFO    MainThread:28360 [wandb_run.py:_finish():2169] finishing run abdulrahman-cubicle-space/hrms-advanced-analytics/e8v1eg9j
2024-12-07 13:36:33,120 INFO    MainThread:28360 [wandb_run.py:_atexit_cleanup():2408] got exitcode: 0
2024-12-07 13:36:33,120 INFO    MainThread:28360 [wandb_run.py:_restore():2390] restore
2024-12-07 13:36:33,120 INFO    MainThread:28360 [wandb_run.py:_restore():2396] restore done
2024-12-07 13:36:37,558 INFO    MainThread:28360 [wandb_run.py:_footer_history_summary_info():3951] rendering history
2024-12-07 13:36:37,558 INFO    MainThread:28360 [wandb_run.py:_footer_history_summary_info():3983] rendering summary
2024-12-07 13:36:37,567 INFO    MainThread:28360 [wandb_run.py:_footer_sync_info():3912] logging synced files
